term,target,register
ugly,trump,body
fat,trump,body
fatty,trump,body
tiny,trump,body
scaly,trump,body
decaying,trump,body
decrepit,trump,body
wrinkled,trump,body
too many chins,trump,body
bad posture,trump,body
bad hair,trump,body
mouth breather,trump,body
sweaty,trump,body
crusty,trump,body
tan,trump,body
decaying sack of flesh,trump,body
repulsive,trump,body
gross,trump,body
nasty,trump,body
wig,trump,body
snorlax,trump,body
creature,trump,body
confused,trump,mind
cooked,trump,mind
unhinged,trump,mind
unstable,trump,mind
insane,trump,mind
mad,trump,mind
crashing out,trump,mind
melts down,trump,mind
low energy,trump,mind
rambling,trump,mind
unwell,trump,mind
insecure,trump,mind
senile,trump,mind
deteriorating,trump,mind
useless,trump,mind
snoozing,trump,mind
sleepy,trump,mind
grandpa,trump,mind
old,trump,mind
oldest,trump,mind
80-year-old man,trump,mind
old as fart,trump,mind
can't read,trump,mind
dumb,trump,mind
stupid,trump,mind
weird,trump,mind
mess,trump,mind
sad sack,trump,mind
chopped,trump,mind
unc,trump,mind
mogged,trump,mind
evil,trump,morals
vile,trump,morals
predator,trump,morals
rat,trump,morals
traitor,trump,morals
convicted felon,trump,morals
wannabe dictator,trump,morals
looter,trump,morals
loser,trump,morals
liar,trump,morals
worst,trump,morals
disgusting,trump,morals
chud,trump,morals
fat chud,trump,morals
true chud,trump,morals
fat little chud,trump,morals
horny,trump,morals
snowflake,trump,morals
chicken,trump,morals
flop,trump,morals
spooky,trump,morals
haunted,trump,morals
nightmare,trump,morals
sleep-paralysis demon,trump,morals
resident evil,trump,morals
loony bin,trump,morals
diabolical,trump,morals
epstein's bff,trump,morals
jealous,trump,morals
tacky,trump,morals
tacky gold,trump,morals
pigging out,trump,morals
jobless,trump,morals
weird,vance,subservience
bootlicker,vance,subservience
ugly bootlicker,vance,subservience
sellout,vance,subservience
irrelevant,vance,subservience
negative aura,vance,subservience
jd-chan,vance,subservience
poor,vance,subservience
dumb,vance,subservience
disgusting,vance,subservience
creep,vance,subservience
concerning,vance,subservience
owned,vance,subservience
mad,vance,subservience
