account,date,dunk_line,punch,target,source,views,video_id
democrats,20220719,Marjorie Taylor Greene is one of the 192 House Republicans.,up (powerful figure),Marjorie Taylor Greene,caption,204200,7121926917104176430
democrats,20220719,192 House Republicans voted AGAINST funding to address the baby formula shortage.,lateral (institution),House Republicans,overlay,204200,7121926917104176430
democrats,20220719,"Hmm, funny, yes, but not funny, haha, funny, weird.",lateral (institution),Marjorie Taylor Greene; House Republicans,speech,204200,7121926917104176430
democrats,20220811,Republicans upset that the ✨Inflation Reduction Act✨ makes corporations pay their fair share in taxes,lateral (institution),Republican Party,overlay,13400,7130405513526840619
democrats,20220811,How could you do this to me? Question mark.,lateral (institution),Republican Party,sound,13400,7130405513526840619
democrats,20220816,These Republicans sided with Big Pharma,lateral (institution),Republican Party,caption,31400,7132505762009550126
democrats,20220816,We do not care.,lateral (institution),Republican Party,sound,31400,7132505762009550126
democrats,20250528,What you are about to witness will disturb you. Even shock you.,up (powerful figure),"Donald Trump, Kristi Noem, Markwayne Mullin, Elon Musk, J.D. Vance, Melania Trump, Clarence Thomas",overlay,1100000,7509614479517273390
democrats,20250528,There is a dark side of humanity the censors won't let you see... but we will.,up (powerful figure),"Donald Trump, Kristi Noem, Markwayne Mullin, Elon Musk, J.D. Vance, Melania Trump, Clarence Thomas",overlay,1100000,7509614479517273390
democrats,20250528,𝓲𝓽 𝓪𝓵𝓵 𝓶𝓪𝓴𝓮𝓼 𝓼𝓮𝓷𝓼𝓮 𝓷𝓸𝔀 . . .,up (powerful figure),"Donald Trump, Kristi Noem, Markwayne Mullin, Elon Musk, J.D. Vance, Melania Trump, Clarence Thomas",caption,1100000,7509614479517273390
republicans,20260429,RIP the Democrat party,lateral (institution),Democrat party,caption,35100,7634213434401377549
republicans,20260429,LOST,lateral (institution),Democratic Party,overlay,35100,7634213434401377549
republicans,20260429,INCORRECT,lateral (institution),Democratic Party,overlay,35100,7634213434401377549
republicans,20260429,TRYING...,lateral (institution),Democratic Party,overlay,35100,7634213434401377549
republicans,20260429,CONFUSED,lateral (institution),Democratic Party,overlay,35100,7634213434401377549
republicans,20260429,STRUGGLING :(,lateral (institution),Democratic Party,overlay,35100,7634213434401377549
democrats,20221222,Shall we go on?,lateral (institution),House Republicans,caption,85600,7180067904115723563
democrats,20221222,voted against capping insulin at $35 a month,lateral (institution),House Republicans,overlay,85600,7180067904115723563
democrats,20221222,voted against taking aggressive action on climate change,lateral (institution),House Republicans,overlay,85600,7180067904115723563
democrats,20221222,voted against protecting marriage equality,lateral (institution),House Republicans,overlay,85600,7180067904115723563
democrats,20221222,voted against increasing access to mental health care in schools,lateral (institution),House Republicans,overlay,85600,7180067904115723563
republicans,20260514,This is who they are,lateral (institution),Democratic Party,caption,33500,7639803324421639454
whitehouse,20250831,"Go woke, go broke.",up (powerful figure),'Woke' ideology,overlay,1000000,7544772559485553934
whitehouse,20250831,"One year ago, it was “DEAD.”",lateral (institution),The United States of America under the previous administration,overlay,1000000,7544772559485553934
whitehouse,20250831,"cashless bail policies across the nation, which have been a complete and total disaster.",up (powerful figure),cashless bail policies,speech,1000000,7544772559485553934
whitehouse,20250831,"the Congressional Budget Office, often partisan and left-wing",lateral (institution),the Congressional Budget Office,speech,1000000,7544772559485553934
