term,target,register,in_trump_lexically,trump_weaponized,trump_verdict,trump_evidence,own_voice_uses,sample_dem_use,sample_post_id,note
ugly,trump,body,True,True,insult_at_person,@ noma2300 You must be kidding - I kicked both of their ugly assses!,8,Ugly ass truck,7480658365589343534,
fat,trump,body,True,True,insult_at_person,"Why would Kim Jong-un insult me by calling me 'old,' when I would NEVER call him 'short and fat?' Oh well, I try so…",11,"You've called women you don't like, ""fat pigs,""",7418642560224169259,
fatty,trump,body,False,False,never_tweeted,,1,fatty alert,7636512852118916366,
tiny,trump,body,True,True,insult_at_person,Mini Mike is a short ball (very) hitter. Tiny club head speed. KEEP AMERICA GREAT! https://t.co/5DUj16jtZf,1,why does Trump look so tiny 😂,7526390989922061582,
scaly,trump,body,False,False,never_tweeted,,1,"weird, scaly neck rash and rapidly decaying hand",7617911383870442765,
decaying,trump,body,True,True,insult_at_person,Crazy Nancy Pelosi should spend more time in her her decaying city and less time on the Impeachment Hoax!,2,"weird, scaly neck rash and rapidly decaying hand",7617911383870442765,
decrepit,trump,body,True,False,random_or_topical,The provided tweet does not contain the word 'decrepit'.,1,new decrepit hand pic dropped 😍,7619354527233297677,
wrinkled,trump,body,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
too many chins,trump,body,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
bad posture,trump,body,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
bad hair,trump,body,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
mouth breather,trump,body,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
sweaty,trump,body,False,False,never_tweeted,,1,why is he so sweaty 😭😭,7665468346959187213,
crusty,trump,body,False,False,never_tweeted,,1,"the old, crusty, convicted felon, wannabe dictator",7430556207368162602,
tan,trump,body,True,False,random_or_topical,"Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapo…",5,in tan suit we trust,7408286203201506590,
decaying sack of flesh,trump,body,False,False,never_tweeted,,1,happy 80th birthday to this decaying sack of flesh,7651243755499965710,
repulsive,trump,body,True,False,quoting_others,@ alextrent4: It is repulsive that Trump was assaulted+politicians used that 2 further themselves+2 further victimize Tr,0,"(in walls, not tagged as a dunk line)",,
gross,trump,body,True,True,insult_at_person,"The @ HuffingtonPost is a total joke & laughing stock of journalism, as is gross Arianna Huffington. They don‚Äôt report",1,gross,7616394922098265357,
nasty,trump,body,True,True,insult_at_person,"All polls have me winning debate big- Drudge, TIME, etc. Dopey Charles Krauthammer still nasty. He has zero cred- totall",2,how trump feels going outside with his nasty rash and hand bruise,7626801424776563982,
wig,trump,body,True,False,random_or_topical,"Sorry, I never went bankrupt and don't wear a wig (it's all mine)!",2,she’s got a wig ✨,7536317247804034317,
snorlax,trump,body,False,False,never_tweeted,,1,thought it was snorlax 😞,7639806789394926862,
creature,trump,body,True,True,insult_at_person,"Two months in jail for a Swamp Creature, yet 9 years recommended for Roger Stone (who was not even working for the Trump",1,WHAT IS THAT CREATURE?,7597872229052845326,
confused,trump,mind,True,True,insult_at_person,Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit,2,*Confused*,7296932935758826798,
cooked,trump,mind,True,False,random_or_topical,Great piece by @ EWErickson @ RedState exposing how Karl 1.6% Rove cooked a poll in support of ObamaCarehttp://bit.ly/13,7,He’s cooked,7416451881506966814,
unhinged,trump,mind,True,True,insult_at_person,Nervous Nancy's unhinged meltdown!,4,UNHINGED,7426859917568396590,
unstable,trump,mind,True,True,insult_at_person,"Anthony Scaramucci is a highly unstable ‚Äúnut job‚Äù who was with other candidates in the primary who got shellacked, &",3,UNSTABLE,7426859917568396590,
insane,trump,mind,True,True,insult_at_person,Refugees from Syria are now pouring into our great country. Who knows who they are - some could be ISIS. Is our presiden,1,bro just said the most insane thing about his wife 😭,7481820115604884779,
mad,trump,mind,True,True,insult_at_person,Do you believe Obama just said that America would be 'less safe' with a travel ban from West Africa.This is the thinking,4,Vance got mad he was fact-checked 😅,7421024412381629739,
crashing out,trump,mind,False,False,never_tweeted,,4,bro is CRASHING OUT,7498379367567854890,
melts down,trump,mind,False,False,never_tweeted,,1,Trump MELTS DOWN after finding out Wall Street calls him a chicken behind his back 😭,7509574990010928427,
low energy,trump,mind,True,True,insult_at_person,"Weak and low energy @ JebBush, whose campaign is a disaster, is now doing ads against me where he tries to look like a t",1,low energy. sad!,7553362907283639607,
rambling,trump,mind,True,True,insult_at_person,Rambling and stumbling @ hardball_chris is as dumb as a rock!,4,20 seconds of rambling,7485530735089077550,
unwell,trump,mind,True,False,random_or_topical,Via @ AmericanThinker by Malcolm Unwell: ‚ÄúTaking Trump Seriously‚Äùhttp://www.americanthinker.com/articles/2015/05/tak,0,"(in walls, not tagged as a dunk line)",,
insecure,trump,mind,True,True,insult_at_person,. @ sethmeyers Seth can't help it - he is really trying hard but just doesn't have what it takes. Very awkward and insec,1,HE'S INSECURE,7558949684631457079,
senile,trump,mind,False,False,never_tweeted,,1,senile,7633899393447365902,
deteriorating,trump,mind,True,False,random_or_topical,"Just as I predicted, Iraq is deteriorating into utter chaos http://bit.ly/11ZsNT7 The war was a waste. China is taking a",2,fat chud rule #32 tell everyone you're super healthy even though you're visibly deteriorating,7649488257679412494,
useless,trump,mind,True,True,insult_at_person,If the Republicans ever want to win a presidential election in the next 30 years they must get rid of @ KarlRove. He is ,1,useless!,7665061845031488781,
snoozing,trump,mind,False,False,never_tweeted,,1,always snoozing,7634238648321363214,
sleepy,trump,mind,True,True,insult_at_person,Sleepy Joe Biden!,1,someone’s sleepy,7427494129774497070,
grandpa,trump,mind,True,False,quoting_others,"@ _Meagann: And @ realDonaldTrump reminds me of my Grandpa -the smartest man I know.' Wow, great!",1,let’s get you to bed grandpa 😴,7558979033355144461,
old,trump,mind,True,False,random_or_topical,"I am watching Crooked Hillary speak. Same old stuff, our country needs change!",5,"the old, crusty, convicted felon, wannabe dictator",7430556207368162602,
oldest,trump,mind,True,False,random_or_topical,"HRC is using the oldest play in the Dem playbook- when their policies fail, they are left w/this one tired argument! htt",0,"(in walls, not tagged as a dunk line)",,
80-year-old man,trump,mind,False,False,never_tweeted,,0,"(in walls, not tagged as a dunk line)",,
old as fart,trump,mind,False,False,never_tweeted,,1,he’s old as fart,7629813150950493454,
can't read,trump,mind,True,True,insult_at_person,"Hillary said such nasty things about me, read directly off her teleprompter...but there was no emotion, no truth. Just c",1,when he can't read 😩,7561933378644135182,
dumb,trump,mind,True,True,insult_at_person,It’s Thursday. @ billmaher is still a very dumb guy--just look at his past.,1,and they still look dumb,7647219370422242574,
stupid,trump,mind,True,True,insult_at_person,@ TheSportsSwede You are so stupid!,3,by saying something stupid like...,7426403405813321003,
