words,caption,url
scum,BREAKING: Trump says we’re back at war with Iran,https://www.tiktok.com/@democrats/video/7660170017274694926
nasty,NASTY 🤮,https://www.tiktok.com/@democrats/video/7652755291661929742
stupid,looks stupid af🥀,https://www.tiktok.com/@democrats/video/7649799936522865934
ugly,"thank you, mr. president! ",https://www.tiktok.com/@democrats/video/7649488257679412494
dumbass,get his dumbass outta here 🗣️,https://www.tiktok.com/@democrats/video/7649440565506903309
dumb,and they still look dumb ,https://www.tiktok.com/@democrats/video/7647219370422242574
disgusting,disgusting.,https://www.tiktok.com/@democrats/video/7646905558888385806
ugly,ugly inside and out 🙂‍↕️,https://www.tiktok.com/@democrats/video/7644980788047383821
bitch,wtf,https://www.tiktok.com/@democrats/video/7637533126666882317
filthy piggy,TikTok video #7632428464586427661,https://www.tiktok.com/@democrats/video/7632428464586427661
piggy,trump trivia ,https://www.tiktok.com/@democrats/video/7631300294206360845
ugly,looking ugly per usual  ,https://www.tiktok.com/@democrats/video/7628666598760385806
unhinged,even the pope??,https://www.tiktok.com/@democrats/video/7628265412429499661
stupid,TikTok video #7627206740626525453,https://www.tiktok.com/@democrats/video/7627206740626525453
nasty,🤮,https://www.tiktok.com/@democrats/video/7626801424776563982
ugly,you’ll always find your way back home ✨,https://www.tiktok.com/@democrats/video/7621282572986813709
disgraceful,TikTok video #7620859301090839822,https://www.tiktok.com/@democrats/video/7620859301090839822
disgusting,real american patriots 🇺🇸,https://www.tiktok.com/@democrats/video/7619342107492371725
idiot,she’s not wrong ,https://www.tiktok.com/@democrats/video/7618612905147141389
weird,🤭,https://www.tiktok.com/@democrats/video/7617911383870442765
nasty,nasty ,https://www.tiktok.com/@democrats/video/7616419638489992462
gross,gross,https://www.tiktok.com/@democrats/video/7616394922098265357
bitch idiot,the maga agenda,https://www.tiktok.com/@democrats/video/7615757238908505374
filthy,TikTok video #7613790359415573774,https://www.tiktok.com/@democrats/video/7613790359415573774
disgraceful,disgraceful.,https://www.tiktok.com/@democrats/video/7611973216839503117
loser,🤔,https://www.tiktok.com/@democrats/video/7610914293541768461
creep,yikes!,https://www.tiktok.com/@democrats/video/7609062959163215117
loser,yikes!,https://www.tiktok.com/@democrats/video/7605657279567908110
loser,america’s greatest,https://www.tiktok.com/@democrats/video/7605349229556550925
bitch cringe dumbass,TikTok video #7605003418888867085,https://www.tiktok.com/@democrats/video/7605003418888867085
idiot,🔥,https://www.tiktok.com/@democrats/video/7604647624234257677
disgusting,disgusting ,https://www.tiktok.com/@democrats/video/7603859153852976398
disgusting,disgusting.,https://www.tiktok.com/@democrats/video/7603038454250802446
stupid ugly,on top of the other 34,https://www.tiktok.com/@democrats/video/7602757950070902030
disgusting,"The parents of Alex Pretti, the man shot and killed by Trump’s federa...",https://www.tiktok.com/@democrats/video/7599671240445447454
ugly,😈,https://www.tiktok.com/@democrats/video/7597872229052845326
disgusting filthy,TikTok video #7582336970983001358,https://www.tiktok.com/@democrats/video/7582336970983001358
bitch clown,TikTok video #7581651346214931725,https://www.tiktok.com/@democrats/video/7581651346214931725
disgusting,👑,https://www.tiktok.com/@democrats/video/7580435206256069901
weird,🥀,https://www.tiktok.com/@democrats/video/7579327885698206990
disgusting,have you ever tried this one? 🖕,https://www.tiktok.com/@democrats/video/7579307432036355383
piggy,🤨,https://www.tiktok.com/@democrats/video/7575230665340308749
disgusting,disgusting ,https://www.tiktok.com/@democrats/video/7572319079852182798
unhinged,💩 ,https://www.tiktok.com/@democrats/video/7561605907608522039
creepy weird,Swear her in. Release the files. ,https://www.tiktok.com/@democrats/video/7561191339019291918
