id,account,url,title,description,upload_date,duration,view_count,like_count,comment_count,repost_count,tags,track,track_artist,is_photo_carousel
7668749917220850974,republicans,https://www.tiktok.com/@republicans/video/7668749917220850974,🫡🫡🛫🛫,🫡🫡🛫🛫,20260731,13,10600,1117,92,10,,original sound,🧍🏾‍♀️🧍🏾‍♀️,False
7668723634722131231,republicans,https://www.tiktok.com/@republicans/video/7668723634722131231,This November common sense is on the line!,This November common sense is on the line!,20260731,10,26000,5779,192,112,,original sound,Coconut 🥥,False
7668421577813363998,republicans,https://www.tiktok.com/@republicans/video/7668421577813363998,😎😎,😎😎,20260730,16,141500,17300,538,941,,original sound,Max mayfield🎧📻📻,False
7668357555982175502,republicans,https://www.tiktok.com/@republicans/video/7668357555982175502,The choice is clear. ,The choice is clear. ,20260730,10,361900,35600,1793,1669,,original sound,￴ ￴ ￴ ￴ ￴ ￴ ￴ ￴￴ ￴ ￴ ￴ ￴ ￴ ￴ ￴,False
7668069317484825887,republicans,https://www.tiktok.com/@republicans/video/7668069317484825887,#patriots 🇺🇸,#patriots 🇺🇸,20260729,24,181200,27500,1017,1864,,оригінальний аудіозапис,vibe.fyp,False
7668031101184625933,republicans,https://www.tiktok.com/@republicans/video/7668031101184625933,TikTok video #7668031101184625933,,20260729,76,39600,3002,245,161,,original sound,Republicans,False
7667999731250973965,republicans,https://www.tiktok.com/@republicans/video/7667999731250973965,TikTok video #7667999731250973965,,20260729,20,8650,366,19,26,,original sound,Republicans,False
7667998858139421966,republicans,https://www.tiktok.com/@republicans/video/7667998858139421966,You can't plead away the truth.,You can't plead away the truth.,20260729,52,8669,649,44,14,,original sound,Republicans,False
7667963998045768974,republicans,https://www.tiktok.com/@republicans/video/7667963998045768974,Anthony Fauci is fraud.,Anthony Fauci is fraud.,20260729,26,135800,17500,270,1517,,original sound,Republicans,False
7667950304238767391,republicans,https://www.tiktok.com/@republicans/video/7667950304238767391,67 years of @NASA 🇺🇸🫡,67 years of @NASA 🇺🇸🫡,20260729,21,19200,2803,106,157,,sonido original,Erick Luna,False
7667658742225227038,republicans,https://www.tiktok.com/@republicans/video/7667658742225227038,TikTok video #7667658742225227038,,20260728,6,17300,1417,74,236,,original sound,"old memes, bts archive",False
7667316692455787807,republicans,https://www.tiktok.com/@republicans/video/7667316692455787807,🇺🇸🦅,🇺🇸🦅,20260727,30,20900,2464,180,55,,original sound,The Midnight Special,False
7667303622081924383,republicans,https://www.tiktok.com/@republicans/video/7667303622081924383,#blessed ,#blessed ,20260727,12,75100,15100,605,409,,what dreams are made of lizzie mcguire,heavyr0tation,False
7667242356474744094,republicans,https://www.tiktok.com/@republicans/video/7667242356474744094,🇺🇸🇺🇸🇺🇸,🇺🇸🇺🇸🇺🇸,20260727,11,24100,4274,134,54,,Zach Bryan Revival MC4D Remix,MC4D,False
7666986223193328910,republicans,https://www.tiktok.com/@republicans/video/7666986223193328910,100 days out from Election Day!  LFG 🇺🇸🇺🇸🇺🇸,100 days out from Election Day!  LFG 🇺🇸🇺🇸🇺🇸,20260726,31,24400,3251,167,78,,оригинальный звук,Musician lyrical,False
7666900759702736158,republicans,https://www.tiktok.com/@republicans/video/7666900759702736158,Lock in patriots we have 100 days 🫡🇺🇸,Lock in patriots we have 100 days 🫡🇺🇸,20260726,11,13100,1189,78,21,,original sound,Republicans,False
7666524146699898143,republicans,https://www.tiktok.com/@republicans/video/7666524146699898143,National Day of the Cowboy 🤠🤠🇺🇸🇺🇸 ,National Day of the Cowboy 🤠🤠🇺🇸🇺🇸 ,20260725,6,200900,22100,729,717,,original sound,Travis,False
7666094037325106462,republicans,https://www.tiktok.com/@republicans/video/7666094037325106462,Deportationmaxxing 😎,Deportationmaxxing 😎,20260724,11,185100,37700,537,8236,,original sound,Tez.,False
7665893533886287117,republicans,https://www.tiktok.com/@republicans/video/7665893533886287117,Someone has to do it,Someone has to do it,20260724,8,136300,18500,1499,327,,original sound,Woojoo,False
7665721142732180749,republicans,https://www.tiktok.com/@republicans/video/7665721142732180749,It’s true.,It’s true.,20260723,6,25000,2998,231,100,,original sound,Republicans,False
7665385473325518111,republicans,https://www.tiktok.com/@republicans/video/7665385473325518111,😎,😎,20260722,22,28500,3504,245,252,,оригинальный звук,✞,False
7664724656800189726,republicans,https://www.tiktok.com/@republicans/video/7664724656800189726,🇺🇸🇺🇸,🇺🇸🇺🇸,20260720,6,43700,5589,148,68,,original sound,amz.e3,False
7664669581386042655,republicans,https://www.tiktok.com/@republicans/video/7664669581386042655,TikTok video #7664669581386042655,,20260720,8,29700,3548,159,45,,original sound,🪼,False
7664601235026201870,republicans,https://www.tiktok.com/@republicans/video/7664601235026201870,TikTok video #7664601235026201870,,20260720,41,32100,2776,79,33,,original sound,Republicans,False
7663623560576994590,republicans,https://www.tiktok.com/@republicans/video/7663623560576994590,TikTok video #7663623560576994590,,20260717,50,50500,3868,263,320,,original sound,Republicans,False
7663591350352235806,republicans,https://www.tiktok.com/@republicans/video/7663591350352235806,Maine Democrat Core 🤡🤡 ,Maine Democrat Core 🤡🤡 ,20260717,46,548100,61000,2454,9749,,Aesthetic,Tollan Kim,False
7663497804366597389,republicans,https://www.tiktok.com/@republicans/video/7663497804366597389,SECURE OUR ELECTIONS,SECURE OUR ELECTIONS,20260717,24,19200,1628,82,56,,original sound,Republicans,False
7663225468090469646,republicans,https://www.tiktok.com/@republicans/video/7663225468090469646,🇺🇸🇺🇸,🇺🇸🇺🇸,20260716,10,74200,16500,669,302,,original sound,Meow,False
7662821619634654477,republicans,https://www.tiktok.com/@republicans/video/7662821619634654477,TikTok video #7662821619634654477,,20260715,38,34500,2926,94,67,,original sound,Republicans,False
7662758494130539789,republicans,https://www.tiktok.com/@republicans/video/7662758494130539789,JD Vance Core 🔥,JD Vance Core 🔥,20260715,30,69500,8385,104,184,,suara asli - Mentahan _sound,Mentahan _sound,False
7662438008255270158,republicans,https://www.tiktok.com/@republicans/video/7662438008255270158,Letting it rip on the senate floor ig 😬,Letting it rip on the senate floor ig 😬,20260714,5,50600,2320,187,172,,original sound,Republicans,False
7662402711249227039,republicans,https://www.tiktok.com/@republicans/video/7662402711249227039,The choice is clear. Choose patriotism.,The choice is clear. Choose patriotism.,20260714,14,28900,3796,241,195,,original sound,♛𝐒𝐇𝐀𝐘𝐀𝐍 𝐄𝐃𝐈𝐓♛,False
7662095008203312398,republicans,https://www.tiktok.com/@republicans/video/7662095008203312398,Freedom 250 Grand Prix showcase 🔥🔥🔥,Freedom 250 Grand Prix showcase 🔥🔥🔥,20260713,20,15000,662,34,10,,original sound,Republicans,False
7662050224201813262,republicans,https://www.tiktok.com/@republicans/video/7662050224201813262,TikTok video #7662050224201813262,,20260713,218,18900,1488,59,30,,original sound,Republicans,False
7661001849805212959,republicans,https://www.tiktok.com/@republicans/video/7661001849805212959,🫣🫣,🫣🫣,20260710,7,83100,6411,225,240,,original sound,rea ✧,False
7660907938260798751,republicans,https://www.tiktok.com/@republicans/video/7660907938260798751,Coming this November ,Coming this November ,20260710,9,466700,73100,2920,4345,,original sound,Woojoo,False
7660538196249365791,republicans,https://www.tiktok.com/@republicans/video/7660538196249365791,😎😎,😎😎,20260709,11,53500,4257,155,243,,original sound,Hadar Levi • הדר לוי,False
